,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,서울특별시 강동구,37.558983,127.1489257, 직업재활 작업현장실습 자원봉사자 모집,서울장애인종합복지관,대한민국 서울특별시 강동구 고덕1동,2019-05-17 2019-12-31
1,서울특별시 강동구,37.5449133,127.1463797, 지역아동센터 학습멘토집단상담급식보조 봉사자모집,제일강동지역아동센터,대한민국 서울특별시 강동구 명일1동 아리수로50길 50,2019-05-16 2019-12-31
2,서울특별시 강동구,37.5449133,127.1463797, 지역아동센터 학습멘토집단상담급식보조 봉사자모집,제일강동지역아동센터,대한민국 서울특별시 강동구 명일1동 아리수로50길 50,2019-05-15 2019-12-31
3,서울특별시 강동구,37.5449133,127.1463797, 지역아동센터 학습멘토집단상담급식보조 봉사자모집,제일강동지역아동센터,대한민국 서울특별시 강동구 명일1동 아리수로50길 50,2019-05-14 2019-12-31
4,서울특별시 강동구,37.5449133,127.1463797, 지역아동센터 학습멘토집단상담급식보조 봉사자모집,제일강동지역아동센터,대한민국 서울특별시 강동구 명일1동 아리수로50길 50,2019-05-13 2019-12-31
5,서울특별시 강동구,37.5449133,127.1463797, 지역아동센터 학습멘토집단상담급식보조 봉사자모집,제일강동지역아동센터,대한민국 서울특별시 강동구 명일1동 아리수로50길 50,2019-05-09 2019-12-31
6,서울특별시 강동구,37.5449133,127.1463797, 지역아동센터 학습멘토집단상담급식보조 봉사자모집,제일강동지역아동센터,대한민국 서울특별시 강동구 명일1동 아리수로50길 50,2019-05-08 2019-12-31
7,서울특별시 강동구,37.5449133,127.1463797, 지역아동센터 학습멘토집단상담급식보조 봉사자모집,제일강동지역아동센터,대한민국 서울특별시 강동구 명일1동 아리수로50길 50,2019-05-07 2019-12-31
8,서울특별시 강동구,37.5449133,127.1463797, 지역아동센터 학습멘토집단상담급식보조 봉사자모집,제일강동지역아동센터,대한민국 서울특별시 강동구 명일1동 아리수로50길 50,2019-05-03 2019-12-31
9,서울특별시 강동구,37.5449133,127.1463797, 지역아동센터 학습멘토집단상담급식보조 봉사자모집,제일강동지역아동센터,대한민국 서울특별시 강동구 명일1동 아리수로50길 50,2019-05-02 2019-12-31
10,서울특별시 강동구,37.5449133,127.1463797, 지역아동센터 학습멘토집단상담급식보조 봉사자모집,제일강동지역아동센터,대한민국 서울특별시 강동구 명일1동 아리수로50길 50,2019-04-30 2019-12-31
11,서울특별시 강동구,37.534862,127.1395457, 다문화 정신장애인 회원 대상 한국어교육(문해교육) 봉사자를 모집합니다 ,행복정신건강센터,대한민국 서울특별시 강동구 길동 진황도로 119 4층,2019-04-29 2019-12-31
12,서울특별시 강동구,37.5449133,127.1463797, 지역아동센터 학습멘토집단상담급식보조 봉사자모집,제일강동지역아동센터,대한민국 서울특별시 강동구 명일1동 아리수로50길 50,2019-04-29 2019-12-31
13,서울특별시 강동구,37.5449133,127.1463797, 지역아동센터 학습멘토집단상담급식보조 봉사자모집,제일강동지역아동센터,대한민국 서울특별시 강동구 명일1동 아리수로50길 50,2019-04-26 2019-12-31
14,서울특별시 강동구,37.5449133,127.1463797, 지역아동센터 학습멘토집단상담급식보조 봉사자모집,제일강동지역아동센터,대한민국 서울특별시 강동구 명일1동 아리수로50길 50,2019-04-24 2019-12-31
0,서울특별시 강동구,37.5449133,127.1463797, 지역아동센터 학습멘토집단상담급식보조 봉사자모집,제일강동지역아동센터,대한민국 서울특별시 강동구 명일1동 아리수로50길 50,2019-04-23 2019-12-31
1,서울특별시 강동구,37.5506377,127.1293565, 강동구 행복데이케어센터 프로그램 강사 모집,행복데이케어센터,대한민국 서울특별시 강동구 암사1동 올림픽로98길 30 3층,2019-04-22 2019-12-31
2,서울특별시 강동구,37.5449133,127.1463797, 지역아동센터 학습멘토집단상담급식보조 봉사자모집,제일강동지역아동센터,대한민국 서울특별시 강동구 명일1동 아리수로50길 50,2019-04-16 2019-12-31
3,서울특별시 강동구,37.5449133,127.1463797, 지역아동센터 학습멘토집단상담급식보조 봉사자모집,제일강동지역아동센터,대한민국 서울특별시 강동구 명일1동 아리수로50길 50,2019-04-15 2019-12-31
4,서울특별시 강동구,37.5449133,127.1463797, 지역아동센터 학습멘토집단상담급식보조 봉사자모집,제일강동지역아동센터,대한민국 서울특별시 강동구 명일1동 아리수로50길 50,2019-04-09 2019-12-31
5,서울특별시 강동구,37.5449133,127.1463797, 지역아동센터 학습멘토집단상담급식보조 봉사자모집,제일강동지역아동센터,대한민국 서울특별시 강동구 명일1동 아리수로50길 50,2019-04-08 2019-12-31
6,서울특별시 강동구,37.5349028,127.1456485, 승용차 및 스타렉스 차량지원 봉사자,센터봄 장애인단기보호,대한민국 서울특별시 강동구 둔촌동 609-6,2019-04-10 2019-11-27
7,서울특별시 강동구,37.532153,127.129261, 성내종합사회복지관 이동목욕 자원봉사자 구인,성내종합사회복지관,대한민국 서울특별시 강동구 성내2동 508-1,2019-04-03 2020-12-31
8,서울특별시 강동구,37.5449133,127.1463797, 지역아동센터 학습멘토집단상담급식보조 봉사자모집,제일강동지역아동센터,대한민국 서울특별시 강동구 명일1동 아리수로50길 50,2019-04-03 2019-12-31
9,서울특별시 강동구,37.5449133,127.1463797, 지역아동센터 학습멘토집단상담급식보조 봉사자모집,제일강동지역아동센터,대한민국 서울특별시 강동구 명일1동 아리수로50길 50,2019-04-02 2019-12-31
10,서울특별시 강동구,37.5449133,127.1463797, 지역아동센터 학습멘토집단상담급식보조 봉사자모집,제일강동지역아동센터,대한민국 서울특별시 강동구 명일1동 아리수로50길 50,2019-04-01 2019-12-31
11,서울특별시 강동구,37.532153,127.129261, 강동외국인근로자센터  한국어교실,성내종합사회복지관,대한민국 서울특별시 강동구 성내2동 508-1,2019-03-28 2019-12-31
12,서울특별시 강동구,37.532153,127.129261, 어르신들의 열린 문화여가 행복공간 쌈지 놀이터 자원봉사자 모집,성내종합사회복지관,대한민국 서울특별시 강동구 성내2동 508-1,2019-04-01 2019-11-30
13,서울특별시 강동구,37.5449133,127.1463797, 지역아동센터 학습멘토집단상담급식보조 봉사자모집,제일강동지역아동센터,대한민국 서울특별시 강동구 명일1동 아리수로50길 50,2019-03-27 2019-12-31
14,서울특별시 강동구,37.5449133,127.1463797, 지역아동센터 학습멘토집단상담급식보조 봉사자모집,제일강동지역아동센터,대한민국 서울특별시 강동구 명일1동 아리수로50길 50,2019-03-26 2019-12-31
